region,decade,count,mean,median,stddev,mean_minus_stddev,mean_plus_stddev
Australia,-1250,120,0.273175,0.237,0.13571099188837923,0.13746400811162077,0.40888599188837926
Australia,-1240,140,0.2903928571428572,0.241,0.14387388044322846,0.1465189766996287,0.43426673758608564
Australia,-1230,156,0.2662628205128205,0.21,0.13684081225676117,0.12942200825605935,0.4031036327695817
Australia,-1220,183,0.25291803278688524,0.196,0.1784059725644247,0.07451206022246054,0.43132400535130994
Australia,-1210,202,0.307029702970297,0.2445,0.18621433942602683,0.1208153635442702,0.49324404239632386
Australia,-1200,214,0.3132476635514019,0.2375,0.19838315790896469,0.11486450564243719,0.5116308214603665
Australia,-1190,223,0.2878789237668162,0.23,0.18544049980574867,0.1024384239610675,0.47331942357256485
Australia,-1180,230,0.28682608695652173,0.2325,0.1564584161933185,0.13036767076320324,0.44328450314984025
Australia,-1170,230,0.2659,0.217,0.14953401710227127,0.11636598289772876,0.4154340171022713
Australia,-1160,231,0.3471298701298701,0.303,0.1585690921127485,0.18856077801712162,0.5056989622426187
Australia,-1150,247,0.28701619433198383,0.262,0.13192329526750954,0.1550928990644743,0.41893948959949334
Australia,-1140,250,0.27656400000000003,0.2485,0.13422784495567894,0.1423361550443211,0.410791844955679
Australia,-1130,250,0.290664,0.286,0.12776254606380866,0.16290145393619132,0.41842654606380864
Australia,-1120,259,0.2467953667953668,0.231,0.12020286719032867,0.1265924996050381,0.3669982339856955
Australia,-1110,256,0.24150390625,0.228,0.12414855105791373,0.11735535519208629,0.36565245730791374
Australia,-1100,262,0.2711259541984733,0.247,0.1330409847189444,0.1380849694795289,0.40416693891741773
Australia,-1090,264,0.27616287878787876,0.2485,0.13546048764061483,0.14070239114726393,0.4116233664284936
Australia,-1080,270,0.23975185185185185,0.2135,0.10850091007574184,0.13125094177611002,0.3482527619275937
Australia,-1070,280,0.20480357142857142,0.1805,0.10482342545840405,0.09998014597016737,0.3096269968869755
Australia,-1060,280,0.25895,0.225,0.13152869182879282,0.1274213081712072,0.3904786918287928
Australia,-1050,280,0.23356785714285713,0.204,0.12530886158245405,0.10825899556040308,0.3588767187253112
Australia,-1040,280,0.21221428571428572,0.1965,0.10022446390159699,0.11198982181268873,0.3124387496158827
Australia,-1030,288,0.2665381944444445,0.236,0.13010418740915913,0.13643400703528535,0.3966423818536036
Australia,-1020,300,0.28272,0.2425,0.1488135517258342,0.13390644827416584,0.4315335517258342
Australia,-1010,313,0.2425846645367412,0.203,0.13888673680919172,0.10369792772754949,0.38147140134593294
Australia,-1000,320,0.22515000000000002,0.1955,0.10513739033471863,0.12001260966528139,0.33028739033471866
Australia,-990,294,0.2065408163265306,0.182,0.10878906869843732,0.09775174762809327,0.31532988502496795
Australia,-980,290,0.22860689655172417,0.207,0.10162283865527494,0.12698405789644923,0.3302297352069991
Australia,-970,290,0.21647586206896552,0.1915,0.11504066275289146,0.10143519931607406,0.331516524821857
Australia,-960,276,0.23846014492753623,0.224,0.11621876802892353,0.1222413768986127,0.35467891295645976
Australia,-950,280,0.25089999999999996,0.2345,0.1338608275297647,0.11703917247023526,0.38476082752976465
Australia,-940,279,0.2877311827956989,0.28,0.1425555658256686,0.1451756169700303,0.4302867486213675
Australia,-930,270,0.29910740740740743,0.2865,0.12698994318383405,0.17211746422357338,0.4260973505912415
Australia,-920,270,0.2692777777777778,0.251,0.12726096722652233,0.14201681055125545,0.3965387450043001
Australia,-910,264,0.24448484848484847,0.231,0.122115757888537,0.12236909059631147,0.3666006063733855
Australia,-900,260,0.2907461538461538,0.2385,0.16721042214744053,0.12353573169871329,0.45795657599359435
Australia,-890,260,0.24929615384615386,0.226,0.12767499454573802,0.12162115930041584,0.3769711483918919
Australia,-880,260,0.23920769230769232,0.2225,0.1214218019741677,0.11778589033352461,0.36062949428186003
